onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	ListenWord	NA	hoot	3.88	6.87	23	158.01
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.139	0	1	ListenWord	NA	hoop	4.74	7.15	17	121.55
9.209	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	ListenWord	NA	rim	4.62	8.22	26	213.72
15.349	0	1	null	NA	null	-1	-1	-1	-1
18.419	0	1	ListenNoise	NA	null	-1	-1	-1	-1
21.489	0	1	null	NA	null	-1	-1	-1	-1
24.559	0	1	ListenWord	NA	soap	4.93	8.99	21	188.79
27.629	0	1	null	NA	null	-1	-1	-1	-1
30.699	0	1	null	NA	null	-1	-1	-1	-1
33.769	0	1	null	NA	null	-1	-1	-1	-1
36.839	0	1	ListenWord	NA	limb	4.64	7.66	20	153.2
39.909	0	1	null	NA	null	-1	-1	-1	-1
42.979	0	1	ListenWord	NA	coop	4.46	6.75	20	135
46.049	0	1	null	NA	null	-1	-1	-1	-1
49.119	0	1	ListenWord	NA	gene	3.59	10.15	17	172.55
52.189	0	1	null	NA	null	-1	-1	-1	-1
55.259	0	1	null	NA	null	-1	-1	-1	-1
58.329	0	1	null	NA	null	-1	-1	-1	-1
61.399	0	1	ListenWord	NA	rug	4.79	7.28	22	160.16
64.468	0	1	null	NA	null	-1	-1	-1	-1
67.538	0	1	ListenWord	NA	rum	4.93	6.86	29	198.94
70.607	0	1	null	NA	null	-1	-1	-1	-1
73.677	0	1	null	NA	null	-1	-1	-1	-1
76.747	0	1	null	NA	null	-1	-1	-1	-1
79.817	0	1	ListenWord	NA	duke	4	9.4	16	150.4
82.887	0	1	null	NA	null	-1	-1	-1	-1
85.957	0	1	ListenNoise	NA	null	-1	-1	-1	-1
89.027	0	1	null	NA	null	-1	-1	-1	-1
92.097	0	1	ListenWord	NA	loom	4.5	6.47	24	155.28
95.167	0	1	null	NA	null	-1	-1	-1	-1
98.237	0	1	ListenWord	NA	hull	4.29	8.54	24	204.96
101.307	0	1	null	NA	null	-1	-1	-1	-1
104.377	0	1	ListenNoise	NA	null	-1	-1	-1	-1
107.447	0	1	null	NA	null	-1	-1	-1	-1
110.517	0	1	ListenWord	NA	lawn	4.93	7.89	19	149.91
113.587	0	1	null	NA	null	-1	-1	-1	-1
116.657	0	1	ListenWord	NA	buff	3.73	7.44	20	148.8
119.726	0	1	null	NA	null	-1	-1	-1	-1
122.796	0	1	ListenWord	NA	dad	4.29	9.38	21	196.98
125.866	0	1	null	NA	null	-1	-1	-1	-1
128.936	0	1	null	NA	null	-1	-1	-1	-1
132.006	0	1	null	NA	null	-1	-1	-1	-1
135.076	0	1	ListenWord	NA	wad	3.93	7.98	22	175.56
138.146	0	1	null	NA	null	-1	-1	-1	-1
141.216	0	1	ListenWord	NA	gap	3.92	8.81	20	176.2
144.286	0	1	null	NA	null	-1	-1	-1	-1
