onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	RepeatIncorrect	NA	dike	4.54	5.2	19	98.8
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.14	0	1	RepeatCorrect	NA	robe	5	7.4	18	133.2
9.21	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	RepeatIncorrect	NA	sap	4.37	8.22	27	221.94
15.349	0	1	null	NA	null	-1	-1	-1	-1
18.419	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
21.489	0	1	null	NA	null	-1	-1	-1	-1
24.559	0	1	RepeatIncorrect	NA	Pope	4.71	9.01	22	198.22
27.628	0	1	null	NA	null	-1	-1	-1	-1
30.698	0	1	null	NA	null	-1	-1	-1	-1
33.768	0	1	null	NA	null	-1	-1	-1	-1
36.838	0	1	RepeatCorrect	NA	chick	4.93	8.06	23	185.38
39.908	0	1	null	NA	null	-1	-1	-1	-1
42.977	0	1	RepeatCorrect	NA	coil	4.56	8.13	18	146.34
46.047	0	1	null	NA	null	-1	-1	-1	-1
49.117	0	1	RepeatIncorrect	NA	gear	4.28	9.64	21	202.44
52.187	0	1	null	NA	null	-1	-1	-1	-1
55.257	0	1	null	NA	null	-1	-1	-1	-1
58.326	0	1	null	NA	null	-1	-1	-1	-1
61.396	0	1	RepeatCorrect	NA	rag	4.67	8.25	28	231
64.466	0	1	null	NA	null	-1	-1	-1	-1
67.536	0	1	RepeatCorrect	NA	lip	4.96	8.11	29	235.19
70.606	0	1	null	NA	null	-1	-1	-1	-1
73.675	0	1	null	NA	null	-1	-1	-1	-1
76.745	0	1	null	NA	null	-1	-1	-1	-1
79.814	0	1	RepeatIncorrect	NA	loop	4.26	9.7	18	174.6
82.884	0	1	null	NA	null	-1	-1	-1	-1
85.954	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
89.023	0	1	null	NA	null	-1	-1	-1	-1
92.093	0	1	RepeatCorrect	NA	lash	3.79	6.48	26	168.48
95.163	0	1	null	NA	null	-1	-1	-1	-1
98.233	0	1	RepeatCorrect	NA	peck	4.16	6.97	20	139.4
101.302	0	1	null	NA	null	-1	-1	-1	-1
104.372	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
107.442	0	1	null	NA	null	-1	-1	-1	-1
110.512	0	1	RepeatCorrect	NA	kite	5	7.76	20	155.2
113.582	0	1	null	NA	null	-1	-1	-1	-1
116.651	0	1	RepeatCorrect	NA	gull	4.08	5.64	21	118.44
119.721	0	1	null	NA	null	-1	-1	-1	-1
122.791	0	1	RepeatIncorrect	NA	dim	3.31	8.36	21	175.56
125.861	0	1	null	NA	null	-1	-1	-1	-1
128.931	0	1	null	NA	null	-1	-1	-1	-1
132	0	1	null	NA	null	-1	-1	-1	-1
135.07	0	1	RepeatCorrect	NA	dug	4	7.96	22	175.12
138.14	0	1	null	NA	null	-1	-1	-1	-1
141.21	0	1	RepeatCorrect	NA	hop	3.8	8.41	20	168.2
144.28	0	1	null	NA	null	-1	-1	-1	-1
147.349	0	1	null	NA	null	-1	-1	-1	-1
150.419	0	1	null	NA	null	-1	-1	-1	-1
153.489	0	1	RepeatCorrect	NA	rope	4.93	8.76	27	236.52
156.559	0	1	null	NA	null	-1	-1	-1	-1
159.629	0	1	RepeatCorrect	NA	peach	4.9	7.5	22	165
162.698	0	1	null	NA	null	-1	-1	-1	-1
165.768	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
168.838	0	1	null	NA	null	-1	-1	-1	-1
171.908	0	1	RepeatIncorrect	NA	lob	3.83	6.15	20	123
174.977	0	1	null	NA	null	-1	-1	-1	-1
178.046	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
181.116	0	1	null	NA	null	-1	-1	-1	-1
184.186	0	1	RepeatCorrect	NA	lab	4.69	10.12	20	202.4
187.256	0	1	null	NA	null	-1	-1	-1	-1
190.325	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
193.395	0	1	null	NA	null	-1	-1	-1	-1
196.465	0	1	RepeatIncorrect	NA	mass	3.44	10.43	26	271.18
199.535	0	1	null	NA	null	-1	-1	-1	-1
202.605	0	1	RepeatCorrect	NA	vile	2.14	7.91	22	174.02
205.674	0	1	null	NA	null	-1	-1	-1	-1
208.744	0	1	RepeatCorrect	NA	tip	4.5	9.59	25	239.75
211.814	0	1	null	NA	null	-1	-1	-1	-1
214.884	0	1	RepeatCorrect	NA	beach	4.79	10.19	18	183.42
217.954	0	1	null	NA	null	-1	-1	-1	-1
221.023	0	1	null	NA	null	-1	-1	-1	-1
224.093	0	1	null	NA	null	-1	-1	-1	-1
227.163	0	1	RepeatCorrect	NA	moon	4.9	10.33	21	216.93
230.233	0	1	null	NA	null	-1	-1	-1	-1
233.303	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
236.372	0	1	null	NA	null	-1	-1	-1	-1
239.442	0	1	RepeatCorrect	NA	lag	3.04	7.89	27	213.03
242.512	0	1	null	NA	null	-1	-1	-1	-1
245.582	0	1	null	NA	null	-1	-1	-1	-1
248.652	0	1	null	NA	null	-1	-1	-1	-1
251.721	0	1	RepeatCorrect	NA	rib	4.9	7.09	19	134.71
254.791	0	1	null	NA	null	-1	-1	-1	-1
257.861	0	1	RepeatCorrect	NA	hire	3.11	9.38	18	168.84
260.931	0	1	null	NA	null	-1	-1	-1	-1
264	0	1	RepeatCorrect	NA	feed	4.17	9.91	19	188.29
267.07	0	1	null	NA	null	-1	-1	-1	-1
270.14	0	1	null	NA	null	-1	-1	-1	-1
273.21	0	1	null	NA	null	-1	-1	-1	-1
276.279	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
279.348	0	1	null	NA	null	-1	-1	-1	-1
282.418	0	1	RepeatCorrect	NA	cope	1.78	8.24	25	206
285.488	0	1	null	NA	null	-1	-1	-1	-1
288.558	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
291.628	0	1	null	NA	null	-1	-1	-1	-1
294.697	0	1	RepeatCorrect	NA	rob	3.48	10	17	170
297.767	0	1	null	NA	null	-1	-1	-1	-1
300.837	0	1	RepeatCorrect	NA	pad	4.43	8.88	26	230.88
303.907	0	1	null	NA	null	-1	-1	-1	-1
306.977	0	1	RepeatCorrect	NA	wet	4.46	9.71	29	281.59
310.046	0	1	null	NA	null	-1	-1	-1	-1
313.116	0	1	RepeatCorrect	NA	batch	3.8	9.24	20	184.8
316.186	0	1	null	NA	null	-1	-1	-1	-1
319.256	0	1	null	NA	null	-1	-1	-1	-1
322.326	0	1	null	NA	null	-1	-1	-1	-1
325.395	0	1	RepeatCorrect	NA	hug	4.14	8.24	21	173.04
328.465	0	1	null	NA	null	-1	-1	-1	-1
331.535	0	1	RepeatIncorrect	NA	boom	3.66	8.36	17	142.12
334.605	0	1	null	NA	null	-1	-1	-1	-1
337.675	0	1	RepeatIncorrect	NA	lease	3.52	8.11	27	218.97
340.744	0	1	null	NA	null	-1	-1	-1	-1
343.814	0	1	RepeatIncorrect	NA	bash	3.52	8.45	24	202.8
346.884	0	1	null	NA	null	-1	-1	-1	-1
349.954	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
353.023	0	1	null	NA	null	-1	-1	-1	-1
356.093	0	1	RepeatIncorrect	NA	gin	4.46	7	20	140
359.163	0	1	null	NA	null	-1	-1	-1	-1
362.233	0	1	null	NA	null	-1	-1	-1	-1
365.303	0	1	null	NA	null	-1	-1	-1	-1
368.372	0	1	RepeatIncorrect	NA	chip	4.71	10.48	24	251.52
371.442	0	1	null	NA	null	-1	-1	-1	-1
374.511	0	1	null	NA	null	-1	-1	-1	-1
377.581	0	1	null	NA	null	-1	-1	-1	-1
380.651	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
383.72	0	1	null	NA	null	-1	-1	-1	-1
386.79	0	1	RepeatCorrect	NA	tar	4.78	9.02	20	180.4
389.86	0	1	null	NA	null	-1	-1	-1	-1
392.93	0	1	RepeatIncorrect	NA	knack	2.05	6.45	20	129
396	0	1	null	NA	null	-1	-1	-1	-1
399.069	0	1	RepeatCorrect	NA	rash	4.62	7.73	26	200.98
402.139	0	1	null	NA	null	-1	-1	-1	-1
405.209	0	1	RepeatCorrect	NA	fight	4.2	10.6	24	254.4
408.279	0	1	null	NA	null	-1	-1	-1	-1
411.349	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
414.418	0	1	null	NA	null	-1	-1	-1	-1
417.488	0	1	RepeatCorrect	NA	sob	3.79	7.4	18	133.2
420.558	0	1	null	NA	null	-1	-1	-1	-1
423.628	0	1	RepeatCorrect	NA	hang	3.7	9.79	23	225.17
426.697	0	1	null	NA	null	-1	-1	-1	-1
429.767	0	1	null	NA	null	-1	-1	-1	-1
432.837	0	1	null	NA	null	-1	-1	-1	-1
435.907	0	1	RepeatCorrect	NA	reach	3.7	10.44	20	208.8
438.977	0	1	null	NA	null	-1	-1	-1	-1
442.046	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
445.116	0	1	null	NA	null	-1	-1	-1	-1
448.186	0	1	RepeatCorrect	NA	gash	4.39	5.56	19	105.64
451.256	0	1	null	NA	null	-1	-1	-1	-1
454.326	0	1	RepeatIncorrect	NA	dumb	2.36	9.43	29	273.47
457.395	0	1	null	NA	null	-1	-1	-1	-1
460.465	0	1	RepeatCorrect	NA	muck	3.77	7.12	25	178
463.535	0	1	null	NA	null	-1	-1	-1	-1
466.605	0	1	RepeatCorrect	NA	mope	2.17	4.55	17	77.35
469.675	0	1	null	NA	null	-1	-1	-1	-1
472.743	0	1	RepeatCorrect	NA	huff	3.32	6.5	18	117
475.813	0	1	null	NA	null	-1	-1	-1	-1
478.883	0	1	null	NA	null	-1	-1	-1	-1
481.953	0	1	null	NA	null	-1	-1	-1	-1
485.023	0	1	RepeatCorrect	NA	bug	5	10.38	26	269.88
488.092	0	1	null	NA	null	-1	-1	-1	-1
491.162	0	1	RepeatIncorrect	NA	gas	4.29	10.16	19	193.04
494.232	0	1	null	NA	null	-1	-1	-1	-1
497.302	0	1	RepeatCorrect	NA	rogue	2.32	8.64	18	155.52
500.371	0	1	null	NA	null	-1	-1	-1	-1
503.441	0	1	RepeatIncorrect	NA	lice	4.73	5.98	26	155.48
506.511	0	1	null	NA	null	-1	-1	-1	-1
509.581	0	1	null	NA	null	-1	-1	-1	-1
512.651	0	1	null	NA	null	-1	-1	-1	-1
515.72	0	1	RepeatCorrect	NA	maim	3.36	5.86	21	123.06
518.79	0	1	null	NA	null	-1	-1	-1	-1
521.86	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
524.93	0	1	null	NA	null	-1	-1	-1	-1
528	0	1	RepeatCorrect	NA	hung	3.31	9.05	18	162.9
531.069	0	1	null	NA	null	-1	-1	-1	-1
534.139	0	1	null	NA	null	-1	-1	-1	-1
537.209	0	1	null	NA	null	-1	-1	-1	-1
540.279	0	1	RepeatCorrect	NA	fan	4.71	10.53	21	221.13
543.349	0	1	null	NA	null	-1	-1	-1	-1
546.418	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
549.488	0	1	null	NA	null	-1	-1	-1	-1
