onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	RepeatCorrect	NA	rut	3.64	6.05	28	169.4
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.14	0	1	RepeatCorrect	NA	hawk	4.93	8.19	18	147.42
9.21	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	RepeatCorrect	NA	rip	3.79	8.99	32	287.68
15.349	0	1	null	NA	null	-1	-1	-1	-1
18.419	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
21.489	0	1	null	NA	null	-1	-1	-1	-1
24.558	0	1	null	NA	null	-1	-1	-1	-1
27.628	0	1	null	NA	null	-1	-1	-1	-1
30.697	0	1	null	NA	null	-1	-1	-1	-1
33.767	0	1	null	NA	null	-1	-1	-1	-1
36.836	0	1	RepeatCorrect	NA	wick	4.69	6.33	26	164.58
39.906	0	1	null	NA	null	-1	-1	-1	-1
42.976	0	1	RepeatCorrect	NA	tug	3.5	7.07	18	127.26
46.046	0	1	null	NA	null	-1	-1	-1	-1
49.115	0	1	RepeatCorrect	NA	chair	4.58	9.83	20	196.6
52.185	0	1	null	NA	null	-1	-1	-1	-1
55.255	0	1	null	NA	null	-1	-1	-1	-1
58.324	0	1	null	NA	null	-1	-1	-1	-1
61.394	0	1	RepeatCorrect	NA	tang	4.42	7.85	18	141.3
64.464	0	1	null	NA	null	-1	-1	-1	-1
67.534	0	1	RepeatCorrect	NA	hen	4.9	7.17	24	172.08
70.603	0	1	null	NA	null	-1	-1	-1	-1
73.673	0	1	null	NA	null	-1	-1	-1	-1
76.743	0	1	null	NA	null	-1	-1	-1	-1
79.813	0	1	RepeatCorrect	NA	moose	4.97	8.15	19	154.85
82.882	0	1	null	NA	null	-1	-1	-1	-1
85.952	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
89.022	0	1	null	NA	null	-1	-1	-1	-1
92.092	0	1	RepeatIncorrect	NA	pup	4.61	7.48	21	157.08
95.161	0	1	null	NA	null	-1	-1	-1	-1
98.231	0	1	RepeatCorrect	NA	miss	2.54	10.34	23	237.82
101.301	0	1	null	NA	null	-1	-1	-1	-1
104.371	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
107.44	0	1	null	NA	null	-1	-1	-1	-1
110.51	0	1	RepeatCorrect	NA	pen	4.92	8.97	29	260.13
113.58	0	1	null	NA	null	-1	-1	-1	-1
116.65	0	1	RepeatCorrect	NA	deep	3.38	10.66	18	191.88
119.719	0	1	null	NA	null	-1	-1	-1	-1
122.789	0	1	RepeatCorrect	NA	deck	4.77	10.27	20	205.4
125.859	0	1	null	NA	null	-1	-1	-1	-1
128.928	0	1	null	NA	null	-1	-1	-1	-1
131.998	0	1	null	NA	null	-1	-1	-1	-1
135.068	0	1	RepeatCorrect	NA	wall	4.86	11.43	23	262.89
138.137	0	1	null	NA	null	-1	-1	-1	-1
141.206	0	1	RepeatCorrect	NA	girl	4.85	10.61	16	169.76
144.276	0	1	null	NA	null	-1	-1	-1	-1
147.346	0	1	null	NA	null	-1	-1	-1	-1
150.416	0	1	null	NA	null	-1	-1	-1	-1
153.485	0	1	RepeatCorrect	NA	tot	4.22	7.74	26	201.24
156.555	0	1	null	NA	null	-1	-1	-1	-1
159.625	0	1	RepeatCorrect	NA	gang	4.43	8.96	15	134.4
162.695	0	1	null	NA	null	-1	-1	-1	-1
165.764	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
168.834	0	1	null	NA	null	-1	-1	-1	-1
171.904	0	1	RepeatCorrect	NA	talk	4.07	11.42	23	262.66
174.974	0	1	null	NA	null	-1	-1	-1	-1
178.043	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
181.113	0	1	null	NA	null	-1	-1	-1	-1
184.183	0	1	RepeatCorrect	NA	peeve	2	6.74	16	107.84
187.253	0	1	null	NA	null	-1	-1	-1	-1
190.322	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
193.392	0	1	null	NA	null	-1	-1	-1	-1
196.462	0	1	RepeatCorrect	NA	wine	4.79	9.48	30	284.4
199.531	0	1	null	NA	null	-1	-1	-1	-1
202.601	0	1	RepeatCorrect	NA	dupe	2.23	5.96	18	107.28
205.671	0	1	null	NA	null	-1	-1	-1	-1
208.741	0	1	RepeatIncorrect	NA	sake	2.74	9.35	28	261.8
211.81	0	1	null	NA	null	-1	-1	-1	-1
214.88	0	1	RepeatCorrect	NA	hub	3.59	8.41	19	159.79
217.95	0	1	null	NA	null	-1	-1	-1	-1
221.02	0	1	null	NA	null	-1	-1	-1	-1
224.089	0	1	null	NA	null	-1	-1	-1	-1
227.159	0	1	RepeatCorrect	NA	wed	3.11	9.62	25	240.5
230.229	0	1	null	NA	null	-1	-1	-1	-1
233.299	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
236.368	0	1	null	NA	null	-1	-1	-1	-1
239.437	0	1	RepeatCorrect	NA	tool	4.6	10.41	23	239.43
242.507	0	1	null	NA	null	-1	-1	-1	-1
245.577	0	1	null	NA	null	-1	-1	-1	-1
248.646	0	1	null	NA	null	-1	-1	-1	-1
251.716	0	1	RepeatCorrect	NA	roach	4.96	6.69	18	120.42
254.786	0	1	null	NA	null	-1	-1	-1	-1
257.856	0	1	RepeatCorrect	NA	niche	2.52	7.81	16	124.96
260.925	0	1	null	NA	null	-1	-1	-1	-1
263.995	0	1	RepeatIncorrect	NA	pace	3.11	8.88	30	266.4
267.065	0	1	null	NA	null	-1	-1	-1	-1
270.134	0	1	null	NA	null	-1	-1	-1	-1
273.204	0	1	null	NA	null	-1	-1	-1	-1
276.274	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
279.344	0	1	null	NA	null	-1	-1	-1	-1
282.413	0	1	RepeatCorrect	NA	jeer	2.62	4.23	23	97.29
285.483	0	1	null	NA	null	-1	-1	-1	-1
288.553	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
291.623	0	1	null	NA	null	-1	-1	-1	-1
294.692	0	1	RepeatIncorrect	NA	cove	4.57	7.04	18	126.72
297.762	0	1	null	NA	null	-1	-1	-1	-1
300.832	0	1	RepeatCorrect	NA	lace	4.85	8.1	29	234.9
303.902	0	1	null	NA	null	-1	-1	-1	-1
306.971	0	1	RepeatIncorrect	NA	neat	2.47	9.38	25	234.5
310.041	0	1	null	NA	null	-1	-1	-1	-1
313.111	0	1	RepeatCorrect	NA	tough	2.5	9.76	17	165.92
316.181	0	1	null	NA	null	-1	-1	-1	-1
319.25	0	1	null	NA	null	-1	-1	-1	-1
322.32	0	1	null	NA	null	-1	-1	-1	-1
325.39	0	1	RepeatCorrect	NA	dope	3	7.55	20	151
328.459	0	1	null	NA	null	-1	-1	-1	-1
331.529	0	1	RepeatCorrect	NA	wrath	2.42	8.64	17	146.88
334.599	0	1	null	NA	null	-1	-1	-1	-1
337.669	0	1	RepeatCorrect	NA	rare	1.96	10.5	22	231
340.738	0	1	null	NA	null	-1	-1	-1	-1
343.807	0	1	RepeatCorrect	NA	cup	5	10.23	18	184.14
346.877	0	1	null	NA	null	-1	-1	-1	-1
349.947	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
353.016	0	1	null	NA	null	-1	-1	-1	-1
356.086	0	1	RepeatCorrect	NA	wren	3.8	6.54	26	170.04
359.156	0	1	null	NA	null	-1	-1	-1	-1
362.226	0	1	null	NA	null	-1	-1	-1	-1
365.295	0	1	null	NA	null	-1	-1	-1	-1
368.365	0	1	RepeatCorrect	NA	mob	3.88	8.93	15	133.95
371.435	0	1	null	NA	null	-1	-1	-1	-1
374.505	0	1	null	NA	null	-1	-1	-1	-1
377.574	0	1	null	NA	null	-1	-1	-1	-1
380.644	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
383.714	0	1	null	NA	null	-1	-1	-1	-1
386.784	0	1	RepeatCorrect	NA	mutt	3.89	6.09	30	182.7
389.853	0	1	null	NA	null	-1	-1	-1	-1
392.923	0	1	RepeatCorrect	NA	kick	4.33	9.9	28	277.2
395.993	0	1	null	NA	null	-1	-1	-1	-1
399.062	0	1	RepeatCorrect	NA	muff	4.12	5.85	18	105.3
402.132	0	1	null	NA	null	-1	-1	-1	-1
405.202	0	1	RepeatCorrect	NA	dean	4.45	9.58	24	229.92
408.272	0	1	null	NA	null	-1	-1	-1	-1
411.341	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
414.411	0	1	null	NA	null	-1	-1	-1	-1
417.481	0	1	RepeatCorrect	NA	choke	3.97	7.99	17	135.83
420.551	0	1	null	NA	null	-1	-1	-1	-1
423.62	0	1	RepeatCorrect	NA	bought	2.96	10.95	25	273.75
426.69	0	1	null	NA	null	-1	-1	-1	-1
429.76	0	1	null	NA	null	-1	-1	-1	-1
432.83	0	1	null	NA	null	-1	-1	-1	-1
435.899	0	1	RepeatCorrect	NA	roof	4.79	8.64	13	112.32
438.969	0	1	null	NA	null	-1	-1	-1	-1
442.039	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
445.109	0	1	null	NA	null	-1	-1	-1	-1
448.178	0	1	RepeatCorrect	NA	botch	2.75	5.49	13	71.37
451.247	0	1	null	NA	null	-1	-1	-1	-1
454.317	0	1	RepeatCorrect	NA	rid	2.13	9.91	29	287.39
457.387	0	1	null	NA	null	-1	-1	-1	-1
460.456	0	1	RepeatIncorrect	NA	sought	2.26	8.86	24	212.64
463.526	0	1	null	NA	null	-1	-1	-1	-1
466.596	0	1	RepeatIncorrect	NA	vice	2.46	9.67	16	154.72
469.665	0	1	null	NA	null	-1	-1	-1	-1
472.735	0	1	RepeatCorrect	NA	god	2.07	11.77	19	223.63
475.805	0	1	null	NA	null	-1	-1	-1	-1
478.875	0	1	null	NA	null	-1	-1	-1	-1
481.944	0	1	null	NA	null	-1	-1	-1	-1
485.014	0	1	RepeatCorrect	NA	mace	4.81	7.15	29	207.35
488.084	0	1	null	NA	null	-1	-1	-1	-1
491.154	0	1	RepeatCorrect	NA	cuff	4.61	6.73	16	107.68
494.223	0	1	null	NA	null	-1	-1	-1	-1
497.293	0	1	RepeatCorrect	NA	dive	4.03	9.01	17	153.17
500.363	0	1	null	NA	null	-1	-1	-1	-1
503.433	0	1	RepeatIncorrect	NA	bake	4.21	7.84	29	227.36
506.502	0	1	null	NA	null	-1	-1	-1	-1
509.572	0	1	null	NA	null	-1	-1	-1	-1
512.642	0	1	null	NA	null	-1	-1	-1	-1
515.712	0	1	RepeatCorrect	NA	mean	2.5	11.93	23	274.39
518.781	0	1	null	NA	null	-1	-1	-1	-1
521.851	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
524.921	0	1	null	NA	null	-1	-1	-1	-1
527.99	0	1	RepeatCorrect	NA	shall	2.33	11	13	143
531.06	0	1	null	NA	null	-1	-1	-1	-1
534.13	0	1	null	NA	null	-1	-1	-1	-1
537.2	0	1	null	NA	null	-1	-1	-1	-1
540.269	0	1	RepeatCorrect	NA	bag	4.9	9.71	28	271.88
543.339	0	1	null	NA	null	-1	-1	-1	-1
546.409	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
549.479	0	1	null	NA	null	-1	-1	-1	-1
