onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	RepeatCorrect	NA	tan	4.29	9.06	25	226.5
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.14	0	1	RepeatCorrect	NA	fig	4.97	7.54	16	120.64
9.21	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	RepeatCorrect	NA	roar	3.81	7.32	31	226.92
15.349	0	1	null	NA	null	-1	-1	-1	-1
18.419	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
21.489	0	1	null	NA	null	-1	-1	-1	-1
24.559	0	1	RepeatIncorrect	NA	tub	4.64	7.86	17	133.62
27.629	0	1	null	NA	null	-1	-1	-1	-1
30.699	0	1	null	NA	null	-1	-1	-1	-1
33.769	0	1	null	NA	null	-1	-1	-1	-1
36.839	0	1	RepeatCorrect	NA	mare	4.75	7.27	23	167.21
39.909	0	1	null	NA	null	-1	-1	-1	-1
42.979	0	1	RepeatCorrect	NA	nag	3.03	6.69	17	113.73
46.048	0	1	null	NA	null	-1	-1	-1	-1
49.119	0	1	RepeatCorrect	NA	loot	4.5	6.91	26	179.66
52.188	0	1	null	NA	null	-1	-1	-1	-1
55.257	0	1	null	NA	null	-1	-1	-1	-1
58.327	0	1	null	NA	null	-1	-1	-1	-1
61.397	0	1	RepeatCorrect	NA	beef	4.74	8.57	15	128.55
64.467	0	1	null	NA	null	-1	-1	-1	-1
67.537	0	1	RepeatCorrect	NA	lid	4.96	7.97	23	183.31
70.607	0	1	null	NA	null	-1	-1	-1	-1
73.677	0	1	null	NA	null	-1	-1	-1	-1
76.747	0	1	null	NA	null	-1	-1	-1	-1
79.817	0	1	RepeatCorrect	NA	purse	4.9	7.53	19	143.07
82.887	0	1	null	NA	null	-1	-1	-1	-1
85.957	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
89.027	0	1	null	NA	null	-1	-1	-1	-1
92.097	0	1	RepeatCorrect	NA	soup	4.72	8.71	22	191.62
95.166	0	1	null	NA	null	-1	-1	-1	-1
98.236	0	1	RepeatCorrect	NA	hate	1.97	10.69	24	256.56
101.306	0	1	null	NA	null	-1	-1	-1	-1
104.376	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
107.446	0	1	null	NA	null	-1	-1	-1	-1
110.516	0	1	RepeatCorrect	NA	weed	4.9	8.01	24	192.24
113.586	0	1	null	NA	null	-1	-1	-1	-1
116.656	0	1	RepeatCorrect	NA	gone	2.04	10.86	17	184.62
119.726	0	1	null	NA	null	-1	-1	-1	-1
122.796	0	1	RepeatCorrect	NA	ring	4.81	10.7	23	246.1
125.866	0	1	null	NA	null	-1	-1	-1	-1
128.936	0	1	null	NA	null	-1	-1	-1	-1
132.005	0	1	null	NA	null	-1	-1	-1	-1
135.075	0	1	RepeatCorrect	NA	dead	4.07	11.2	24	268.8
138.146	0	1	null	NA	null	-1	-1	-1	-1
141.216	0	1	RepeatCorrect	NA	shop	4.31	10.24	16	163.84
144.285	0	1	null	NA	null	-1	-1	-1	-1
147.355	0	1	null	NA	null	-1	-1	-1	-1
150.425	0	1	null	NA	null	-1	-1	-1	-1
153.495	0	1	RepeatIncorrect	NA	ham	4.9	8.82	26	229.32
156.565	0	1	null	NA	null	-1	-1	-1	-1
159.634	0	1	RepeatCorrect	NA	hook	4.79	9.36	16	149.76
162.704	0	1	null	NA	null	-1	-1	-1	-1
165.774	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
168.844	0	1	null	NA	null	-1	-1	-1	-1
171.914	0	1	RepeatCorrect	NA	face	4.87	11.26	21	236.46
174.983	0	1	null	NA	null	-1	-1	-1	-1
178.053	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
181.123	0	1	null	NA	null	-1	-1	-1	-1
184.193	0	1	RepeatCorrect	NA	zeal	2.33	6.55	15	98.25
187.263	0	1	null	NA	null	-1	-1	-1	-1
190.333	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
193.403	0	1	null	NA	null	-1	-1	-1	-1
196.473	0	1	RepeatCorrect	NA	coat	4.97	9.24	31	286.44
199.543	0	1	null	NA	null	-1	-1	-1	-1
202.613	0	1	RepeatCorrect	NA	lop	3.32	5.64	22	124.08
205.683	0	1	null	NA	null	-1	-1	-1	-1
208.753	0	1	RepeatCorrect	NA	wake	3.11	9.4	26	244.4
211.823	0	1	null	NA	null	-1	-1	-1	-1
214.893	0	1	RepeatCorrect	NA	jig	3.85	6.79	17	115.43
217.962	0	1	null	NA	null	-1	-1	-1	-1
221.032	0	1	null	NA	null	-1	-1	-1	-1
224.102	0	1	null	NA	null	-1	-1	-1	-1
227.172	0	1	RepeatCorrect	NA	hag	3.68	8.3	25	207.5
230.242	0	1	null	NA	null	-1	-1	-1	-1
233.312	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
236.382	0	1	null	NA	null	-1	-1	-1	-1
239.452	0	1	RepeatCorrect	NA	map	4.93	10.16	20	203.2
242.522	0	1	null	NA	null	-1	-1	-1	-1
245.592	0	1	null	NA	null	-1	-1	-1	-1
248.662	0	1	null	NA	null	-1	-1	-1	-1
251.732	0	1	RepeatCorrect	NA	leash	4.89	7.6	16	121.6
254.802	0	1	null	NA	null	-1	-1	-1	-1
257.871	0	1	RepeatCorrect	NA	shuck	3.09	4.52	17	76.84
260.941	0	1	null	NA	null	-1	-1	-1	-1
264.011	0	1	RepeatCorrect	NA	hick	3.45	6.07	25	151.75
267.081	0	1	null	NA	null	-1	-1	-1	-1
270.151	0	1	null	NA	null	-1	-1	-1	-1
273.22	0	1	null	NA	null	-1	-1	-1	-1
276.29	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
279.36	0	1	null	NA	null	-1	-1	-1	-1
