onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	ListenWord	NA	hoot	3.88	6.87	23	158.01
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.14	0	1	ListenWord	NA	hoop	4.74	7.15	17	121.55
9.21	0	1	null	NA	null	-1	-1	-1	-1
12.28	0	1	ListenWord	NA	rim	4.62	8.22	26	213.72
15.35	0	1	null	NA	null	-1	-1	-1	-1
18.42	0	1	ListenNoise	NA	null	-1	-1	-1	-1
21.49	0	1	null	NA	null	-1	-1	-1	-1
24.56	0	1	ListenWord	NA	soap	4.93	8.99	21	188.79
27.63	0	1	null	NA	null	-1	-1	-1	-1
30.7	0	1	null	NA	null	-1	-1	-1	-1
33.77	0	1	null	NA	null	-1	-1	-1	-1
36.84	0	1	ListenWord	NA	limb	4.64	7.66	20	153.2
39.909	0	1	null	NA	null	-1	-1	-1	-1
42.979	0	1	ListenWord	NA	coop	4.46	6.75	20	135
46.049	0	1	null	NA	null	-1	-1	-1	-1
49.119	0	1	ListenWord	NA	gene	3.59	10.15	17	172.55
52.189	0	1	null	NA	null	-1	-1	-1	-1
55.259	0	1	null	NA	null	-1	-1	-1	-1
58.329	0	1	null	NA	null	-1	-1	-1	-1
61.399	0	1	ListenWord	NA	rug	4.79	7.28	22	160.16
64.469	0	1	null	NA	null	-1	-1	-1	-1
67.539	0	1	ListenWord	NA	rum	4.93	6.86	29	198.94
70.609	0	1	null	NA	null	-1	-1	-1	-1
73.679	0	1	null	NA	null	-1	-1	-1	-1
76.749	0	1	null	NA	null	-1	-1	-1	-1
79.819	0	1	ListenWord	NA	duke	4	9.4	16	150.4
82.889	0	1	null	NA	null	-1	-1	-1	-1
85.959	0	1	ListenNoise	NA	null	-1	-1	-1	-1
89.029	0	1	null	NA	null	-1	-1	-1	-1
92.099	0	1	ListenWord	NA	loom	4.5	6.47	24	155.28
95.169	0	1	null	NA	null	-1	-1	-1	-1
98.239	0	1	ListenWord	NA	hull	4.29	8.54	24	204.96
101.309	0	1	null	NA	null	-1	-1	-1	-1
104.378	0	1	ListenNoise	NA	null	-1	-1	-1	-1
107.448	0	1	null	NA	null	-1	-1	-1	-1
110.518	0	1	ListenWord	NA	lawn	4.93	7.89	19	149.91
113.587	0	1	null	NA	null	-1	-1	-1	-1
116.657	0	1	ListenWord	NA	buff	3.73	7.44	20	148.8
119.727	0	1	null	NA	null	-1	-1	-1	-1
122.797	0	1	ListenWord	NA	dad	4.29	9.38	21	196.98
125.867	0	1	null	NA	null	-1	-1	-1	-1
128.937	0	1	null	NA	null	-1	-1	-1	-1
132.007	0	1	null	NA	null	-1	-1	-1	-1
135.077	0	1	ListenWord	NA	wad	3.93	7.98	22	175.56
138.147	0	1	null	NA	null	-1	-1	-1	-1
141.217	0	1	ListenWord	NA	gap	3.92	8.81	20	176.2
144.287	0	1	null	NA	null	-1	-1	-1	-1
