onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	RepeatCorrect	NA	rut	3.64	6.05	28	169.4
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.14	0	1	RepeatCorrect	NA	hawk	4.93	8.19	18	147.42
9.209	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	RepeatCorrect	NA	rip	3.79	8.99	32	287.68
15.349	0	1	null	NA	null	-1	-1	-1	-1
18.417	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
21.487	0	1	null	NA	null	-1	-1	-1	-1
24.556	0	1	null	NA	null	-1	-1	-1	-1
27.626	0	1	null	NA	null	-1	-1	-1	-1
30.696	0	1	null	NA	null	-1	-1	-1	-1
33.765	0	1	null	NA	null	-1	-1	-1	-1
36.835	0	1	RepeatIncorrect	NA	wick	4.69	6.33	26	164.58
39.904	0	1	null	NA	null	-1	-1	-1	-1
42.974	0	1	RepeatCorrect	NA	tug	3.5	7.07	18	127.26
46.044	0	1	null	NA	null	-1	-1	-1	-1
49.113	0	1	RepeatCorrect	NA	chair	4.58	9.83	20	196.6
52.183	0	1	null	NA	null	-1	-1	-1	-1
55.253	0	1	null	NA	null	-1	-1	-1	-1
58.322	0	1	null	NA	null	-1	-1	-1	-1
61.392	0	1	RepeatIncorrect	NA	tang	4.42	7.85	18	141.3
64.461	0	1	null	NA	null	-1	-1	-1	-1
67.531	0	1	RepeatIncorrect	NA	hen	4.9	7.17	24	172.08
70.601	0	1	null	NA	null	-1	-1	-1	-1
73.67	0	1	null	NA	null	-1	-1	-1	-1
76.74	0	1	null	NA	null	-1	-1	-1	-1
79.809	0	1	RepeatCorrect	NA	moose	4.97	8.15	19	154.85
82.879	0	1	null	NA	null	-1	-1	-1	-1
85.949	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
89.018	0	1	null	NA	null	-1	-1	-1	-1
92.088	0	1	RepeatIncorrect	NA	pup	4.61	7.48	21	157.08
95.158	0	1	null	NA	null	-1	-1	-1	-1
98.227	0	1	RepeatCorrect	NA	miss	2.54	10.34	23	237.82
101.297	0	1	null	NA	null	-1	-1	-1	-1
104.366	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
107.436	0	1	null	NA	null	-1	-1	-1	-1
110.506	0	1	RepeatCorrect	NA	pen	4.92	8.97	29	260.13
113.575	0	1	null	NA	null	-1	-1	-1	-1
116.645	0	1	RepeatIncorrect	NA	deep	3.38	10.66	18	191.88
119.715	0	1	null	NA	null	-1	-1	-1	-1
122.784	0	1	RepeatCorrect	NA	deck	4.77	10.27	20	205.4
125.853	0	1	null	NA	null	-1	-1	-1	-1
128.923	0	1	null	NA	null	-1	-1	-1	-1
131.992	0	1	null	NA	null	-1	-1	-1	-1
135.062	0	1	RepeatCorrect	NA	wall	4.86	11.43	23	262.89
138.131	0	1	null	NA	null	-1	-1	-1	-1
141.201	0	1	RepeatCorrect	NA	girl	4.85	10.61	16	169.76
144.27	0	1	null	NA	null	-1	-1	-1	-1
147.34	0	1	null	NA	null	-1	-1	-1	-1
150.41	0	1	null	NA	null	-1	-1	-1	-1
153.479	0	1	RepeatIncorrect	NA	tot	4.22	7.74	26	201.24
156.549	0	1	null	NA	null	-1	-1	-1	-1
159.619	0	1	RepeatIncorrect	NA	gang	4.43	8.96	15	134.4
162.688	0	1	null	NA	null	-1	-1	-1	-1
165.758	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
168.827	0	1	null	NA	null	-1	-1	-1	-1
171.897	0	1	RepeatCorrect	NA	talk	4.07	11.42	23	262.66
174.967	0	1	null	NA	null	-1	-1	-1	-1
178.036	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
181.106	0	1	null	NA	null	-1	-1	-1	-1
184.175	0	1	RepeatIncorrect	NA	peeve	2	6.74	16	107.84
187.245	0	1	null	NA	null	-1	-1	-1	-1
190.315	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
193.384	0	1	null	NA	null	-1	-1	-1	-1
196.454	0	1	RepeatIncorrect	NA	wine	4.79	9.48	30	284.4
199.524	0	1	null	NA	null	-1	-1	-1	-1
202.593	0	1	RepeatCorrect	NA	dupe	2.23	5.96	18	107.28
205.663	0	1	null	NA	null	-1	-1	-1	-1
208.732	0	1	RepeatIncorrect	NA	sake	2.74	9.35	28	261.8
211.802	0	1	null	NA	null	-1	-1	-1	-1
214.872	0	1	RepeatCorrect	NA	hub	3.59	8.41	19	159.79
217.941	0	1	null	NA	null	-1	-1	-1	-1
221.011	0	1	null	NA	null	-1	-1	-1	-1
224.081	0	1	null	NA	null	-1	-1	-1	-1
227.15	0	1	RepeatIncorrect	NA	wed	3.11	9.62	25	240.5
230.22	0	1	null	NA	null	-1	-1	-1	-1
233.288	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
236.358	0	1	null	NA	null	-1	-1	-1	-1
239.428	0	1	RepeatCorrect	NA	tool	4.6	10.41	23	239.43
242.497	0	1	null	NA	null	-1	-1	-1	-1
245.567	0	1	null	NA	null	-1	-1	-1	-1
248.636	0	1	null	NA	null	-1	-1	-1	-1
251.706	0	1	RepeatIncorrect	NA	roach	4.96	6.69	18	120.42
254.776	0	1	null	NA	null	-1	-1	-1	-1
257.845	0	1	RepeatIncorrect	NA	niche	2.52	7.81	16	124.96
260.915	0	1	null	NA	null	-1	-1	-1	-1
263.985	0	1	RepeatIncorrect	NA	pace	3.11	8.88	30	266.4
267.054	0	1	null	NA	null	-1	-1	-1	-1
270.124	0	1	null	NA	null	-1	-1	-1	-1
273.193	0	1	null	NA	null	-1	-1	-1	-1
276.263	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
279.333	0	1	null	NA	null	-1	-1	-1	-1
282.402	0	1	RepeatIncorrect	NA	jeer	2.62	4.23	23	97.29
285.472	0	1	null	NA	null	-1	-1	-1	-1
288.542	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
291.611	0	1	null	NA	null	-1	-1	-1	-1
294.681	0	1	RepeatCorrect	NA	cove	4.57	7.04	18	126.72
297.75	0	1	null	NA	null	-1	-1	-1	-1
300.82	0	1	RepeatCorrect	NA	lace	4.85	8.1	29	234.9
303.89	0	1	null	NA	null	-1	-1	-1	-1
306.959	0	1	RepeatIncorrect	NA	neat	2.47	9.38	25	234.5
310.029	0	1	null	NA	null	-1	-1	-1	-1
313.098	0	1	RepeatIncorrect	NA	tough	2.5	9.76	17	165.92
316.168	0	1	null	NA	null	-1	-1	-1	-1
319.238	0	1	null	NA	null	-1	-1	-1	-1
322.307	0	1	null	NA	null	-1	-1	-1	-1
325.377	0	1	RepeatCorrect	NA	dope	3	7.55	20	151
328.447	0	1	null	NA	null	-1	-1	-1	-1
331.516	0	1	RepeatIncorrect	NA	wrath	2.42	8.64	17	146.88
334.586	0	1	null	NA	null	-1	-1	-1	-1
337.654	0	1	RepeatCorrect	NA	rare	1.96	10.5	22	231
340.724	0	1	null	NA	null	-1	-1	-1	-1
343.794	0	1	RepeatIncorrect	NA	cup	5	10.23	18	184.14
346.863	0	1	null	NA	null	-1	-1	-1	-1
349.933	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
353.002	0	1	null	NA	null	-1	-1	-1	-1
356.072	0	1	RepeatIncorrect	NA	wren	3.8	6.54	26	170.04
359.142	0	1	null	NA	null	-1	-1	-1	-1
362.211	0	1	null	NA	null	-1	-1	-1	-1
365.281	0	1	null	NA	null	-1	-1	-1	-1
368.351	0	1	RepeatCorrect	NA	mob	3.88	8.93	15	133.95
371.42	0	1	null	NA	null	-1	-1	-1	-1
374.49	0	1	null	NA	null	-1	-1	-1	-1
377.559	0	1	null	NA	null	-1	-1	-1	-1
380.629	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
383.699	0	1	null	NA	null	-1	-1	-1	-1
386.768	0	1	RepeatCorrect	NA	mutt	3.89	6.09	30	182.7
389.838	0	1	null	NA	null	-1	-1	-1	-1
392.907	0	1	RepeatIncorrect	NA	kick	4.33	9.9	28	277.2
395.977	0	1	null	NA	null	-1	-1	-1	-1
399.047	0	1	RepeatCorrect	NA	muff	4.12	5.85	18	105.3
402.116	0	1	null	NA	null	-1	-1	-1	-1
405.186	0	1	RepeatIncorrect	NA	dean	4.45	9.58	24	229.92
408.256	0	1	null	NA	null	-1	-1	-1	-1
411.325	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
414.395	0	1	null	NA	null	-1	-1	-1	-1
417.464	0	1	RepeatCorrect	NA	choke	3.97	7.99	17	135.83
420.534	0	1	null	NA	null	-1	-1	-1	-1
423.604	0	1	RepeatCorrect	NA	bought	2.96	10.95	25	273.75
426.673	0	1	null	NA	null	-1	-1	-1	-1
429.743	0	1	null	NA	null	-1	-1	-1	-1
432.813	0	1	null	NA	null	-1	-1	-1	-1
435.882	0	1	RepeatCorrect	NA	roof	4.79	8.64	13	112.32
438.952	0	1	null	NA	null	-1	-1	-1	-1
442.021	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
445.09	0	1	null	NA	null	-1	-1	-1	-1
448.16	0	1	RepeatIncorrect	NA	botch	2.75	5.49	13	71.37
451.229	0	1	null	NA	null	-1	-1	-1	-1
454.299	0	1	RepeatCorrect	NA	rid	2.13	9.91	29	287.39
457.368	0	1	null	NA	null	-1	-1	-1	-1
460.438	0	1	RepeatCorrect	NA	sought	2.26	8.86	24	212.64
463.508	0	1	null	NA	null	-1	-1	-1	-1
466.577	0	1	RepeatCorrect	NA	vice	2.46	9.67	16	154.72
469.647	0	1	null	NA	null	-1	-1	-1	-1
472.717	0	1	RepeatCorrect	NA	god	2.07	11.77	19	223.63
475.786	0	1	null	NA	null	-1	-1	-1	-1
478.856	0	1	null	NA	null	-1	-1	-1	-1
481.925	0	1	null	NA	null	-1	-1	-1	-1
484.995	0	1	RepeatCorrect	NA	mace	4.81	7.15	29	207.35
488.065	0	1	null	NA	null	-1	-1	-1	-1
491.134	0	1	RepeatIncorrect	NA	cuff	4.61	6.73	16	107.68
494.204	0	1	null	NA	null	-1	-1	-1	-1
497.273	0	1	RepeatCorrect	NA	dive	4.03	9.01	17	153.17
500.343	0	1	null	NA	null	-1	-1	-1	-1
503.413	0	1	RepeatIncorrect	NA	bake	4.21	7.84	29	227.36
506.482	0	1	null	NA	null	-1	-1	-1	-1
509.552	0	1	null	NA	null	-1	-1	-1	-1
512.622	0	1	null	NA	null	-1	-1	-1	-1
515.691	0	1	RepeatCorrect	NA	mean	2.5	11.93	23	274.39
518.761	0	1	null	NA	null	-1	-1	-1	-1
521.83	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
524.9	0	1	null	NA	null	-1	-1	-1	-1
527.97	0	1	RepeatIncorrect	NA	shall	2.33	11	13	143
531.039	0	1	null	NA	null	-1	-1	-1	-1
534.109	0	1	null	NA	null	-1	-1	-1	-1
537.179	0	1	null	NA	null	-1	-1	-1	-1
540.248	0	1	RepeatCorrect	NA	bag	4.9	9.71	28	271.88
543.318	0	1	null	NA	null	-1	-1	-1	-1
546.387	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
549.456	0	1	null	NA	null	-1	-1	-1	-1
