onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	ListenWord	NA	dike	4.54	5.2	19	98.8
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.14	0	1	ListenWord	NA	robe	5	7.4	18	133.2
9.21	0	1	null	NA	null	-1	-1	-1	-1
12.28	0	1	ListenWord	NA	sap	4.37	8.22	27	221.94
15.35	0	1	null	NA	null	-1	-1	-1	-1
18.419	0	1	ListenNoise	NA	null	-1	-1	-1	-1
21.489	0	1	null	NA	null	-1	-1	-1	-1
24.559	0	1	ListenWord	NA	Pope	4.71	9.01	22	198.22
27.629	0	1	null	NA	null	-1	-1	-1	-1
30.699	0	1	null	NA	null	-1	-1	-1	-1
33.769	0	1	null	NA	null	-1	-1	-1	-1
36.839	0	1	ListenWord	NA	chick	4.93	8.06	23	185.38
39.909	0	1	null	NA	null	-1	-1	-1	-1
42.979	0	1	ListenWord	NA	coil	4.56	8.13	18	146.34
46.049	0	1	null	NA	null	-1	-1	-1	-1
49.119	0	1	ListenWord	NA	gear	4.28	9.64	21	202.44
52.189	0	1	null	NA	null	-1	-1	-1	-1
55.258	0	1	null	NA	null	-1	-1	-1	-1
58.328	0	1	null	NA	null	-1	-1	-1	-1
61.398	0	1	ListenWord	NA	rag	4.67	8.25	28	231
64.468	0	1	null	NA	null	-1	-1	-1	-1
67.538	0	1	ListenWord	NA	lip	4.96	8.11	29	235.19
70.608	0	1	null	NA	null	-1	-1	-1	-1
73.678	0	1	null	NA	null	-1	-1	-1	-1
76.748	0	1	null	NA	null	-1	-1	-1	-1
79.818	0	1	ListenWord	NA	loop	4.26	9.7	18	174.6
82.887	0	1	null	NA	null	-1	-1	-1	-1
85.957	0	1	ListenNoise	NA	null	-1	-1	-1	-1
89.027	0	1	null	NA	null	-1	-1	-1	-1
92.097	0	1	ListenWord	NA	lash	3.79	6.48	26	168.48
95.166	0	1	null	NA	null	-1	-1	-1	-1
98.236	0	1	ListenWord	NA	peck	4.16	6.97	20	139.4
101.306	0	1	null	NA	null	-1	-1	-1	-1
104.376	0	1	ListenNoise	NA	null	-1	-1	-1	-1
107.446	0	1	null	NA	null	-1	-1	-1	-1
110.516	0	1	ListenWord	NA	kite	5	7.76	20	155.2
113.586	0	1	null	NA	null	-1	-1	-1	-1
116.656	0	1	ListenWord	NA	gull	4.08	5.64	21	118.44
119.726	0	1	null	NA	null	-1	-1	-1	-1
122.796	0	1	ListenWord	NA	dim	3.31	8.36	21	175.56
125.865	0	1	null	NA	null	-1	-1	-1	-1
128.935	0	1	null	NA	null	-1	-1	-1	-1
132.005	0	1	null	NA	null	-1	-1	-1	-1
135.075	0	1	ListenWord	NA	dug	4	7.96	22	175.12
138.145	0	1	null	NA	null	-1	-1	-1	-1
141.215	0	1	ListenWord	NA	hop	3.8	8.41	20	168.2
144.285	0	1	null	NA	null	-1	-1	-1	-1
147.355	0	1	null	NA	null	-1	-1	-1	-1
150.425	0	1	null	NA	null	-1	-1	-1	-1
153.495	0	1	ListenWord	NA	rope	4.93	8.76	27	236.52
156.565	0	1	null	NA	null	-1	-1	-1	-1
159.634	0	1	ListenWord	NA	peach	4.9	7.5	22	165
162.704	0	1	null	NA	null	-1	-1	-1	-1
165.774	0	1	ListenNoise	NA	null	-1	-1	-1	-1
168.844	0	1	null	NA	null	-1	-1	-1	-1
171.914	0	1	ListenWord	NA	lob	3.83	6.15	20	123
174.984	0	1	null	NA	null	-1	-1	-1	-1
178.054	0	1	ListenNoise	NA	null	-1	-1	-1	-1
181.123	0	1	null	NA	null	-1	-1	-1	-1
184.193	0	1	ListenWord	NA	lab	4.69	10.12	20	202.4
187.263	0	1	null	NA	null	-1	-1	-1	-1
190.333	0	1	ListenNoise	NA	null	-1	-1	-1	-1
193.403	0	1	null	NA	null	-1	-1	-1	-1
196.472	0	1	ListenWord	NA	mass	3.44	10.43	26	271.18
199.542	0	1	null	NA	null	-1	-1	-1	-1
202.612	0	1	ListenWord	NA	vile	2.14	7.91	22	174.02
205.682	0	1	null	NA	null	-1	-1	-1	-1
208.752	0	1	ListenWord	NA	tip	4.5	9.59	25	239.75
211.822	0	1	null	NA	null	-1	-1	-1	-1
214.892	0	1	ListenWord	NA	beach	4.79	10.19	18	183.42
217.962	0	1	null	NA	null	-1	-1	-1	-1
221.032	0	1	null	NA	null	-1	-1	-1	-1
224.102	0	1	null	NA	null	-1	-1	-1	-1
227.172	0	1	ListenWord	NA	moon	4.9	10.33	21	216.93
230.242	0	1	null	NA	null	-1	-1	-1	-1
233.311	0	1	ListenNoise	NA	null	-1	-1	-1	-1
236.381	0	1	null	NA	null	-1	-1	-1	-1
239.451	0	1	ListenWord	NA	lag	3.04	7.89	27	213.03
242.521	0	1	null	NA	null	-1	-1	-1	-1
245.591	0	1	null	NA	null	-1	-1	-1	-1
248.661	0	1	null	NA	null	-1	-1	-1	-1
251.731	0	1	ListenWord	NA	rib	4.9	7.09	19	134.71
254.801	0	1	null	NA	null	-1	-1	-1	-1
