onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	ListenWord	NA	tan	4.29	9.06	25	226.5
3.069	0	1	null	NA	null	-1	-1	-1	-1
6.139	0	1	ListenWord	NA	fig	4.97	7.54	16	120.64
9.209	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	ListenWord	NA	roar	3.81	7.32	31	226.92
15.349	0	1	null	NA	null	-1	-1	-1	-1
18.418	0	1	ListenNoise	NA	null	-1	-1	-1	-1
21.488	0	1	null	NA	null	-1	-1	-1	-1
24.558	0	1	ListenWord	NA	tub	4.64	7.86	17	133.62
27.628	0	1	null	NA	null	-1	-1	-1	-1
30.698	0	1	null	NA	null	-1	-1	-1	-1
33.767	0	1	null	NA	null	-1	-1	-1	-1
36.837	0	1	ListenWord	NA	mare	4.75	7.27	23	167.21
39.907	0	1	null	NA	null	-1	-1	-1	-1
42.977	0	1	ListenWord	NA	nag	3.03	6.69	17	113.73
46.047	0	1	null	NA	null	-1	-1	-1	-1
49.116	0	1	ListenWord	NA	loot	4.5	6.91	26	179.66
52.186	0	1	null	NA	null	-1	-1	-1	-1
55.256	0	1	null	NA	null	-1	-1	-1	-1
58.326	0	1	null	NA	null	-1	-1	-1	-1
61.396	0	1	ListenWord	NA	beef	4.74	8.57	15	128.55
64.465	0	1	null	NA	null	-1	-1	-1	-1
67.535	0	1	ListenWord	NA	lid	4.96	7.97	23	183.31
70.605	0	1	null	NA	null	-1	-1	-1	-1
73.675	0	1	null	NA	null	-1	-1	-1	-1
76.745	0	1	null	NA	null	-1	-1	-1	-1
79.815	0	1	ListenWord	NA	purse	4.9	7.53	19	143.07
82.883	0	1	null	NA	null	-1	-1	-1	-1
85.953	0	1	ListenNoise	NA	null	-1	-1	-1	-1
89.023	0	1	null	NA	null	-1	-1	-1	-1
92.093	0	1	ListenWord	NA	soup	4.72	8.71	22	191.62
95.163	0	1	null	NA	null	-1	-1	-1	-1
98.232	0	1	ListenWord	NA	hate	1.97	10.69	24	256.56
101.302	0	1	null	NA	null	-1	-1	-1	-1
104.372	0	1	ListenNoise	NA	null	-1	-1	-1	-1
107.442	0	1	null	NA	null	-1	-1	-1	-1
110.512	0	1	ListenWord	NA	weed	4.9	8.01	24	192.24
113.581	0	1	null	NA	null	-1	-1	-1	-1
116.651	0	1	ListenWord	NA	gone	2.04	10.86	17	184.62
119.721	0	1	null	NA	null	-1	-1	-1	-1
122.791	0	1	ListenWord	NA	ring	4.81	10.7	23	246.1
125.861	0	1	null	NA	null	-1	-1	-1	-1
128.93	0	1	null	NA	null	-1	-1	-1	-1
132	0	1	null	NA	null	-1	-1	-1	-1
135.07	0	1	ListenWord	NA	dead	4.07	11.2	24	268.8
138.14	0	1	null	NA	null	-1	-1	-1	-1
141.21	0	1	ListenWord	NA	shop	4.31	10.24	16	163.84
144.279	0	1	null	NA	null	-1	-1	-1	-1
147.349	0	1	null	NA	null	-1	-1	-1	-1
150.419	0	1	null	NA	null	-1	-1	-1	-1
153.489	0	1	ListenWord	NA	ham	4.9	8.82	26	229.32
156.559	0	1	null	NA	null	-1	-1	-1	-1
159.628	0	1	ListenWord	NA	hook	4.79	9.36	16	149.76
162.698	0	1	null	NA	null	-1	-1	-1	-1
165.768	0	1	ListenNoise	NA	null	-1	-1	-1	-1
168.838	0	1	null	NA	null	-1	-1	-1	-1
171.908	0	1	ListenWord	NA	face	4.87	11.26	21	236.46
174.977	0	1	null	NA	null	-1	-1	-1	-1
178.047	0	1	ListenNoise	NA	null	-1	-1	-1	-1
181.117	0	1	null	NA	null	-1	-1	-1	-1
184.187	0	1	ListenWord	NA	zeal	2.33	6.55	15	98.25
187.256	0	1	null	NA	null	-1	-1	-1	-1
190.325	0	1	ListenNoise	NA	null	-1	-1	-1	-1
193.395	0	1	null	NA	null	-1	-1	-1	-1
196.465	0	1	ListenWord	NA	coat	4.97	9.24	31	286.44
199.535	0	1	null	NA	null	-1	-1	-1	-1
202.605	0	1	ListenWord	NA	lop	3.32	5.64	22	124.08
205.674	0	1	null	NA	null	-1	-1	-1	-1
208.744	0	1	ListenWord	NA	wake	3.11	9.4	26	244.4
211.814	0	1	null	NA	null	-1	-1	-1	-1
214.884	0	1	ListenWord	NA	jig	3.85	6.79	17	115.43
217.954	0	1	null	NA	null	-1	-1	-1	-1
221.023	0	1	null	NA	null	-1	-1	-1	-1
224.093	0	1	null	NA	null	-1	-1	-1	-1
227.163	0	1	ListenWord	NA	hag	3.68	8.3	25	207.5
230.233	0	1	null	NA	null	-1	-1	-1	-1
233.303	0	1	ListenNoise	NA	null	-1	-1	-1	-1
236.372	0	1	null	NA	null	-1	-1	-1	-1
239.442	0	1	ListenWord	NA	map	4.93	10.16	20	203.2
242.512	0	1	null	NA	null	-1	-1	-1	-1
245.582	0	1	null	NA	null	-1	-1	-1	-1
248.652	0	1	null	NA	null	-1	-1	-1	-1
251.722	0	1	ListenWord	NA	leash	4.89	7.6	16	121.6
254.791	0	1	null	NA	null	-1	-1	-1	-1
257.861	0	1	ListenWord	NA	shuck	3.09	4.52	17	76.84
260.931	0	1	null	NA	null	-1	-1	-1	-1
264.001	0	1	ListenWord	NA	hick	3.45	6.07	25	151.75
267.071	0	1	null	NA	null	-1	-1	-1	-1
270.14	0	1	null	NA	null	-1	-1	-1	-1
273.21	0	1	null	NA	null	-1	-1	-1	-1
276.28	0	1	ListenNoise	NA	null	-1	-1	-1	-1
279.35	0	1	null	NA	null	-1	-1	-1	-1
282.42	0	1	ListenWord	NA	wean	2.59	6.62	25	165.5
285.488	0	1	null	NA	null	-1	-1	-1	-1
288.558	0	1	ListenNoise	NA	null	-1	-1	-1	-1
291.628	0	1	null	NA	null	-1	-1	-1	-1
294.698	0	1	ListenWord	NA	chop	4.48	7.75	18	139.5
297.768	0	1	null	NA	null	-1	-1	-1	-1
