onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	RepeatCorrect	NA	dike	4.54	5.2	19	98.8
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.14	0	1	RepeatCorrect	NA	robe	5	7.4	18	133.2
9.21	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	RepeatIncorrect	NA	sap	4.37	8.22	27	221.94
15.349	0	1	null	NA	null	-1	-1	-1	-1
18.419	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
21.489	0	1	null	NA	null	-1	-1	-1	-1
24.559	0	1	RepeatIncorrect	NA	Pope	4.71	9.01	22	198.22
27.628	0	1	null	NA	null	-1	-1	-1	-1
30.698	0	1	null	NA	null	-1	-1	-1	-1
33.768	0	1	null	NA	null	-1	-1	-1	-1
36.838	0	1	RepeatCorrect	NA	chick	4.93	8.06	23	185.38
39.908	0	1	null	NA	null	-1	-1	-1	-1
42.977	0	1	RepeatCorrect	NA	coil	4.56	8.13	18	146.34
46.047	0	1	null	NA	null	-1	-1	-1	-1
49.117	0	1	RepeatIncorrect	NA	gear	4.28	9.64	21	202.44
52.187	0	1	null	NA	null	-1	-1	-1	-1
55.257	0	1	null	NA	null	-1	-1	-1	-1
58.326	0	1	null	NA	null	-1	-1	-1	-1
61.396	0	1	RepeatCorrect	NA	rag	4.67	8.25	28	231
64.466	0	1	null	NA	null	-1	-1	-1	-1
67.536	0	1	RepeatCorrect	NA	lip	4.96	8.11	29	235.19
70.606	0	1	null	NA	null	-1	-1	-1	-1
73.675	0	1	null	NA	null	-1	-1	-1	-1
76.745	0	1	null	NA	null	-1	-1	-1	-1
79.815	0	1	RepeatIncorrect	NA	loop	4.26	9.7	18	174.6
82.884	0	1	null	NA	null	-1	-1	-1	-1
85.954	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
89.024	0	1	null	NA	null	-1	-1	-1	-1
92.093	0	1	RepeatCorrect	NA	lash	3.79	6.48	26	168.48
95.163	0	1	null	NA	null	-1	-1	-1	-1
98.233	0	1	RepeatCorrect	NA	peck	4.16	6.97	20	139.4
101.303	0	1	null	NA	null	-1	-1	-1	-1
104.373	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
107.442	0	1	null	NA	null	-1	-1	-1	-1
110.512	0	1	RepeatCorrect	NA	kite	5	7.76	20	155.2
113.582	0	1	null	NA	null	-1	-1	-1	-1
116.652	0	1	RepeatCorrect	NA	gull	4.08	5.64	21	118.44
119.722	0	1	null	NA	null	-1	-1	-1	-1
122.791	0	1	RepeatCorrect	NA	dim	3.31	8.36	21	175.56
125.861	0	1	null	NA	null	-1	-1	-1	-1
128.931	0	1	null	NA	null	-1	-1	-1	-1
132.001	0	1	null	NA	null	-1	-1	-1	-1
135.071	0	1	RepeatCorrect	NA	dug	4	7.96	22	175.12
138.14	0	1	null	NA	null	-1	-1	-1	-1
141.21	0	1	RepeatIncorrect	NA	hop	3.8	8.41	20	168.2
144.28	0	1	null	NA	null	-1	-1	-1	-1
147.35	0	1	null	NA	null	-1	-1	-1	-1
150.42	0	1	null	NA	null	-1	-1	-1	-1
153.489	0	1	RepeatIncorrect	NA	rope	4.93	8.76	27	236.52
156.559	0	1	null	NA	null	-1	-1	-1	-1
159.629	0	1	RepeatCorrect	NA	peach	4.9	7.5	22	165
162.699	0	1	null	NA	null	-1	-1	-1	-1
165.769	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
168.838	0	1	null	NA	null	-1	-1	-1	-1
171.908	0	1	RepeatIncorrect	NA	lob	3.83	6.15	20	123
174.978	0	1	null	NA	null	-1	-1	-1	-1
178.048	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
181.117	0	1	null	NA	null	-1	-1	-1	-1
184.186	0	1	RepeatCorrect	NA	lab	4.69	10.12	20	202.4
187.256	0	1	null	NA	null	-1	-1	-1	-1
190.326	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
193.396	0	1	null	NA	null	-1	-1	-1	-1
196.466	0	1	RepeatIncorrect	NA	mass	3.44	10.43	26	271.18
199.535	0	1	null	NA	null	-1	-1	-1	-1
202.605	0	1	RepeatCorrect	NA	vile	2.14	7.91	22	174.02
205.675	0	1	null	NA	null	-1	-1	-1	-1
208.745	0	1	RepeatCorrect	NA	tip	4.5	9.59	25	239.75
211.815	0	1	null	NA	null	-1	-1	-1	-1
214.884	0	1	RepeatCorrect	NA	beach	4.79	10.19	18	183.42
217.954	0	1	null	NA	null	-1	-1	-1	-1
221.024	0	1	null	NA	null	-1	-1	-1	-1
224.094	0	1	null	NA	null	-1	-1	-1	-1
227.164	0	1	RepeatIncorrect	NA	moon	4.9	10.33	21	216.93
230.233	0	1	null	NA	null	-1	-1	-1	-1
233.303	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
236.373	0	1	null	NA	null	-1	-1	-1	-1
239.443	0	1	RepeatCorrect	NA	lag	3.04	7.89	27	213.03
242.513	0	1	null	NA	null	-1	-1	-1	-1
245.582	0	1	null	NA	null	-1	-1	-1	-1
248.652	0	1	null	NA	null	-1	-1	-1	-1
251.722	0	1	RepeatIncorrect	NA	rib	4.9	7.09	19	134.71
254.792	0	1	null	NA	null	-1	-1	-1	-1
257.862	0	1	RepeatIncorrect	NA	hire	3.11	9.38	18	168.84
260.932	0	1	null	NA	null	-1	-1	-1	-1
264.001	0	1	RepeatCorrect	NA	feed	4.17	9.91	19	188.29
267.071	0	1	null	NA	null	-1	-1	-1	-1
270.141	0	1	null	NA	null	-1	-1	-1	-1
273.211	0	1	null	NA	null	-1	-1	-1	-1
276.281	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
279.349	0	1	null	NA	null	-1	-1	-1	-1
282.419	0	1	RepeatCorrect	NA	cope	1.78	8.24	25	206
285.489	0	1	null	NA	null	-1	-1	-1	-1
288.559	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
291.629	0	1	null	NA	null	-1	-1	-1	-1
294.698	0	1	RepeatCorrect	NA	rob	3.48	10	17	170
297.768	0	1	null	NA	null	-1	-1	-1	-1
300.838	0	1	RepeatIncorrect	NA	pad	4.43	8.88	26	230.88
303.908	0	1	null	NA	null	-1	-1	-1	-1
306.978	0	1	RepeatCorrect	NA	wet	4.46	9.71	29	281.59
310.047	0	1	null	NA	null	-1	-1	-1	-1
313.117	0	1	RepeatIncorrect	NA	batch	3.8	9.24	20	184.8
316.187	0	1	null	NA	null	-1	-1	-1	-1
319.257	0	1	null	NA	null	-1	-1	-1	-1
322.327	0	1	null	NA	null	-1	-1	-1	-1
325.396	0	1	RepeatCorrect	NA	hug	4.14	8.24	21	173.04
328.466	0	1	null	NA	null	-1	-1	-1	-1
331.536	0	1	RepeatIncorrect	NA	boom	3.66	8.36	17	142.12
334.606	0	1	null	NA	null	-1	-1	-1	-1
337.676	0	1	RepeatIncorrect	NA	lease	3.52	8.11	27	218.97
340.745	0	1	null	NA	null	-1	-1	-1	-1
343.815	0	1	RepeatIncorrect	NA	bash	3.52	8.45	24	202.8
346.885	0	1	null	NA	null	-1	-1	-1	-1
349.955	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
353.025	0	1	null	NA	null	-1	-1	-1	-1
356.094	0	1	RepeatIncorrect	NA	gin	4.46	7	20	140
359.164	0	1	null	NA	null	-1	-1	-1	-1
362.234	0	1	null	NA	null	-1	-1	-1	-1
365.304	0	1	null	NA	null	-1	-1	-1	-1
368.374	0	1	RepeatIncorrect	NA	chip	4.71	10.48	24	251.52
371.443	0	1	null	NA	null	-1	-1	-1	-1
374.513	0	1	null	NA	null	-1	-1	-1	-1
377.583	0	1	null	NA	null	-1	-1	-1	-1
380.652	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
383.722	0	1	null	NA	null	-1	-1	-1	-1
386.791	0	1	RepeatCorrect	NA	tar	4.78	9.02	20	180.4
389.861	0	1	null	NA	null	-1	-1	-1	-1
392.931	0	1	RepeatCorrect	NA	knack	2.05	6.45	20	129
396.001	0	1	null	NA	null	-1	-1	-1	-1
399.071	0	1	RepeatCorrect	NA	rash	4.62	7.73	26	200.98
402.14	0	1	null	NA	null	-1	-1	-1	-1
405.21	0	1	RepeatCorrect	NA	fight	4.2	10.6	24	254.4
408.28	0	1	null	NA	null	-1	-1	-1	-1
411.35	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
414.42	0	1	null	NA	null	-1	-1	-1	-1
417.489	0	1	RepeatCorrect	NA	sob	3.79	7.4	18	133.2
420.559	0	1	null	NA	null	-1	-1	-1	-1
423.629	0	1	RepeatCorrect	NA	hang	3.7	9.79	23	225.17
426.699	0	1	null	NA	null	-1	-1	-1	-1
429.769	0	1	null	NA	null	-1	-1	-1	-1
432.839	0	1	null	NA	null	-1	-1	-1	-1
435.908	0	1	RepeatCorrect	NA	reach	3.7	10.44	20	208.8
438.978	0	1	null	NA	null	-1	-1	-1	-1
442.048	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
445.118	0	1	null	NA	null	-1	-1	-1	-1
448.188	0	1	RepeatCorrect	NA	gash	4.39	5.56	19	105.64
451.257	0	1	null	NA	null	-1	-1	-1	-1
454.327	0	1	RepeatCorrect	NA	dumb	2.36	9.43	29	273.47
457.397	0	1	null	NA	null	-1	-1	-1	-1
460.467	0	1	RepeatCorrect	NA	muck	3.77	7.12	25	178
463.537	0	1	null	NA	null	-1	-1	-1	-1
466.606	0	1	RepeatCorrect	NA	mope	2.17	4.55	17	77.35
469.676	0	1	null	NA	null	-1	-1	-1	-1
472.746	0	1	RepeatIncorrect	NA	huff	3.32	6.5	18	117
475.815	0	1	null	NA	null	-1	-1	-1	-1
478.885	0	1	null	NA	null	-1	-1	-1	-1
481.954	0	1	null	NA	null	-1	-1	-1	-1
485.024	0	1	RepeatCorrect	NA	bug	5	10.38	26	269.88
488.094	0	1	null	NA	null	-1	-1	-1	-1
491.164	0	1	RepeatIncorrect	NA	gas	4.29	10.16	19	193.04
494.234	0	1	null	NA	null	-1	-1	-1	-1
497.303	0	1	RepeatCorrect	NA	rogue	2.32	8.64	18	155.52
500.373	0	1	null	NA	null	-1	-1	-1	-1
503.443	0	1	RepeatIncorrect	NA	lice	4.73	5.98	26	155.48
506.513	0	1	null	NA	null	-1	-1	-1	-1
509.583	0	1	null	NA	null	-1	-1	-1	-1
512.652	0	1	null	NA	null	-1	-1	-1	-1
515.722	0	1	RepeatCorrect	NA	maim	3.36	5.86	21	123.06
518.792	0	1	null	NA	null	-1	-1	-1	-1
521.862	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
524.932	0	1	null	NA	null	-1	-1	-1	-1
528.001	0	1	RepeatIncorrect	NA	hung	3.31	9.05	18	162.9
531.071	0	1	null	NA	null	-1	-1	-1	-1
534.141	0	1	null	NA	null	-1	-1	-1	-1
537.211	0	1	null	NA	null	-1	-1	-1	-1
540.281	0	1	RepeatIncorrect	NA	fan	4.71	10.53	21	221.13
543.35	0	1	null	NA	null	-1	-1	-1	-1
546.42	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
549.49	0	1	null	NA	null	-1	-1	-1	-1
