onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	RepeatCorrect	NA	tan	4.29	9.06	25	226.5
3.069	0	1	null	NA	null	-1	-1	-1	-1
6.139	0	1	RepeatCorrect	NA	fig	4.97	7.54	16	120.64
9.209	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	RepeatCorrect	NA	roar	3.81	7.32	31	226.92
15.349	0	1	null	NA	null	-1	-1	-1	-1
18.419	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
21.488	0	1	null	NA	null	-1	-1	-1	-1
24.558	0	1	RepeatCorrect	NA	tub	4.64	7.86	17	133.62
27.628	0	1	null	NA	null	-1	-1	-1	-1
30.698	0	1	null	NA	null	-1	-1	-1	-1
33.768	0	1	null	NA	null	-1	-1	-1	-1
36.837	0	1	RepeatCorrect	NA	mare	4.75	7.27	23	167.21
39.907	0	1	null	NA	null	-1	-1	-1	-1
42.976	0	1	RepeatCorrect	NA	nag	3.03	6.69	17	113.73
46.046	0	1	null	NA	null	-1	-1	-1	-1
49.116	0	1	RepeatCorrect	NA	loot	4.5	6.91	26	179.66
52.186	0	1	null	NA	null	-1	-1	-1	-1
55.256	0	1	null	NA	null	-1	-1	-1	-1
58.326	0	1	null	NA	null	-1	-1	-1	-1
61.395	0	1	RepeatCorrect	NA	beef	4.74	8.57	15	128.55
64.465	0	1	null	NA	null	-1	-1	-1	-1
67.535	0	1	RepeatCorrect	NA	lid	4.96	7.97	23	183.31
70.605	0	1	null	NA	null	-1	-1	-1	-1
73.675	0	1	null	NA	null	-1	-1	-1	-1
76.745	0	1	null	NA	null	-1	-1	-1	-1
79.815	0	1	RepeatCorrect	NA	purse	4.9	7.53	19	143.07
82.884	0	1	null	NA	null	-1	-1	-1	-1
85.954	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
89.024	0	1	null	NA	null	-1	-1	-1	-1
92.094	0	1	RepeatCorrect	NA	soup	4.72	8.71	22	191.62
95.164	0	1	null	NA	null	-1	-1	-1	-1
98.234	0	1	RepeatCorrect	NA	hate	1.97	10.69	24	256.56
101.303	0	1	null	NA	null	-1	-1	-1	-1
104.373	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
107.443	0	1	null	NA	null	-1	-1	-1	-1
110.513	0	1	RepeatCorrect	NA	weed	4.9	8.01	24	192.24
113.583	0	1	null	NA	null	-1	-1	-1	-1
116.653	0	1	RepeatCorrect	NA	gone	2.04	10.86	17	184.62
119.723	0	1	null	NA	null	-1	-1	-1	-1
122.792	0	1	RepeatCorrect	NA	ring	4.81	10.7	23	246.1
125.862	0	1	null	NA	null	-1	-1	-1	-1
128.932	0	1	null	NA	null	-1	-1	-1	-1
132.002	0	1	null	NA	null	-1	-1	-1	-1
135.072	0	1	RepeatCorrect	NA	dead	4.07	11.2	24	268.8
138.142	0	1	null	NA	null	-1	-1	-1	-1
141.211	0	1	RepeatCorrect	NA	shop	4.31	10.24	16	163.84
144.281	0	1	null	NA	null	-1	-1	-1	-1
147.351	0	1	null	NA	null	-1	-1	-1	-1
150.421	0	1	null	NA	null	-1	-1	-1	-1
153.491	0	1	RepeatCorrect	NA	ham	4.9	8.82	26	229.32
156.56	0	1	null	NA	null	-1	-1	-1	-1
159.63	0	1	RepeatCorrect	NA	hook	4.79	9.36	16	149.76
162.699	0	1	null	NA	null	-1	-1	-1	-1
165.769	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
168.839	0	1	null	NA	null	-1	-1	-1	-1
171.909	0	1	RepeatCorrect	NA	face	4.87	11.26	21	236.46
174.979	0	1	null	NA	null	-1	-1	-1	-1
178.049	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
181.118	0	1	null	NA	null	-1	-1	-1	-1
184.188	0	1	RepeatCorrect	NA	zeal	2.33	6.55	15	98.25
187.258	0	1	null	NA	null	-1	-1	-1	-1
190.328	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
193.398	0	1	null	NA	null	-1	-1	-1	-1
196.468	0	1	RepeatCorrect	NA	coat	4.97	9.24	31	286.44
199.538	0	1	null	NA	null	-1	-1	-1	-1
202.607	0	1	RepeatCorrect	NA	lop	3.32	5.64	22	124.08
205.677	0	1	null	NA	null	-1	-1	-1	-1
