onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	RepeatIncorrect	NA	hoot	3.88	6.87	23	158.01
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.14	0	1	RepeatIncorrect	NA	hoop	4.74	7.15	17	121.55
9.209	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	RepeatIncorrect	NA	rim	4.62	8.22	26	213.72
15.349	0	1	null	NA	null	-1	-1	-1	-1
18.419	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
21.489	0	1	null	NA	null	-1	-1	-1	-1
24.559	0	1	RepeatIncorrect	NA	soap	4.93	8.99	21	188.79
27.628	0	1	null	NA	null	-1	-1	-1	-1
30.698	0	1	null	NA	null	-1	-1	-1	-1
33.768	0	1	null	NA	null	-1	-1	-1	-1
36.838	0	1	RepeatIncorrect	NA	limb	4.64	7.66	20	153.2
39.908	0	1	null	NA	null	-1	-1	-1	-1
42.977	0	1	RepeatIncorrect	NA	coop	4.46	6.75	20	135
46.047	0	1	null	NA	null	-1	-1	-1	-1
49.117	0	1	RepeatIncorrect	NA	gene	3.59	10.15	17	172.55
52.187	0	1	null	NA	null	-1	-1	-1	-1
55.257	0	1	null	NA	null	-1	-1	-1	-1
58.326	0	1	null	NA	null	-1	-1	-1	-1
61.396	0	1	RepeatCorrect	NA	rug	4.79	7.28	22	160.16
64.466	0	1	null	NA	null	-1	-1	-1	-1
67.536	0	1	RepeatCorrect	NA	rum	4.93	6.86	29	198.94
70.606	0	1	null	NA	null	-1	-1	-1	-1
73.675	0	1	null	NA	null	-1	-1	-1	-1
76.745	0	1	null	NA	null	-1	-1	-1	-1
79.815	0	1	RepeatCorrect	NA	duke	4	9.4	16	150.4
82.885	0	1	null	NA	null	-1	-1	-1	-1
85.955	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
89.023	0	1	null	NA	null	-1	-1	-1	-1
92.093	0	1	RepeatIncorrect	NA	loom	4.5	6.47	24	155.28
95.163	0	1	null	NA	null	-1	-1	-1	-1
98.233	0	1	RepeatCorrect	NA	hull	4.29	8.54	24	204.96
101.303	0	1	null	NA	null	-1	-1	-1	-1
104.372	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
107.442	0	1	null	NA	null	-1	-1	-1	-1
110.512	0	1	RepeatCorrect	NA	lawn	4.93	7.89	19	149.91
113.582	0	1	null	NA	null	-1	-1	-1	-1
116.652	0	1	RepeatCorrect	NA	buff	3.73	7.44	20	148.8
119.721	0	1	null	NA	null	-1	-1	-1	-1
122.791	0	1	RepeatCorrect	NA	dad	4.29	9.38	21	196.98
125.861	0	1	null	NA	null	-1	-1	-1	-1
128.931	0	1	null	NA	null	-1	-1	-1	-1
132.001	0	1	null	NA	null	-1	-1	-1	-1
135.07	0	1	RepeatCorrect	NA	wad	3.93	7.98	22	175.56
138.14	0	1	null	NA	null	-1	-1	-1	-1
141.21	0	1	RepeatCorrect	NA	gap	3.92	8.81	20	176.2
144.28	0	1	null	NA	null	-1	-1	-1	-1
147.35	0	1	null	NA	null	-1	-1	-1	-1
150.419	0	1	null	NA	null	-1	-1	-1	-1
153.489	0	1	RepeatCorrect	NA	duck	4.86	8.83	25	220.75
156.559	0	1	null	NA	null	-1	-1	-1	-1
159.629	0	1	RepeatCorrect	NA	latch	4.79	7.15	18	128.7
162.699	0	1	null	NA	null	-1	-1	-1	-1
165.768	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
168.838	0	1	null	NA	null	-1	-1	-1	-1
171.908	0	1	RepeatCorrect	NA	nap	4.03	7.4	20	148
174.978	0	1	null	NA	null	-1	-1	-1	-1
178.048	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
181.117	0	1	null	NA	null	-1	-1	-1	-1
184.187	0	1	RepeatCorrect	NA	mud	4.86	9.35	20	187
187.257	0	1	null	NA	null	-1	-1	-1	-1
190.327	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
193.397	0	1	null	NA	null	-1	-1	-1	-1
