onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	ListenWord	NA	tan	4.29	9.06	25	226.5
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.14	0	1	ListenWord	NA	fig	4.97	7.54	16	120.64
9.21	0	1	null	NA	null	-1	-1	-1	-1
12.28	0	1	ListenWord	NA	roar	3.81	7.32	31	226.92
15.35	0	1	null	NA	null	-1	-1	-1	-1
18.419	0	1	ListenNoise	NA	null	-1	-1	-1	-1
21.489	0	1	null	NA	null	-1	-1	-1	-1
24.559	0	1	ListenWord	NA	tub	4.64	7.86	17	133.62
27.629	0	1	null	NA	null	-1	-1	-1	-1
30.699	0	1	null	NA	null	-1	-1	-1	-1
33.769	0	1	null	NA	null	-1	-1	-1	-1
36.839	0	1	ListenWord	NA	mare	4.75	7.27	23	167.21
39.909	0	1	null	NA	null	-1	-1	-1	-1
42.978	0	1	ListenWord	NA	nag	3.03	6.69	17	113.73
46.048	0	1	null	NA	null	-1	-1	-1	-1
49.118	0	1	ListenWord	NA	loot	4.5	6.91	26	179.66
52.187	0	1	null	NA	null	-1	-1	-1	-1
55.257	0	1	null	NA	null	-1	-1	-1	-1
58.327	0	1	null	NA	null	-1	-1	-1	-1
61.397	0	1	ListenWord	NA	beef	4.74	8.57	15	128.55
64.466	0	1	null	NA	null	-1	-1	-1	-1
67.536	0	1	ListenWord	NA	lid	4.96	7.97	23	183.31
70.606	0	1	null	NA	null	-1	-1	-1	-1
73.676	0	1	null	NA	null	-1	-1	-1	-1
76.746	0	1	null	NA	null	-1	-1	-1	-1
79.816	0	1	ListenWord	NA	purse	4.9	7.53	19	143.07
82.886	0	1	null	NA	null	-1	-1	-1	-1
85.956	0	1	ListenNoise	NA	null	-1	-1	-1	-1
89.025	0	1	null	NA	null	-1	-1	-1	-1
92.095	0	1	ListenWord	NA	soup	4.72	8.71	22	191.62
95.165	0	1	null	NA	null	-1	-1	-1	-1
98.235	0	1	ListenWord	NA	hate	1.97	10.69	24	256.56
101.305	0	1	null	NA	null	-1	-1	-1	-1
104.375	0	1	ListenNoise	NA	null	-1	-1	-1	-1
107.445	0	1	null	NA	null	-1	-1	-1	-1
110.514	0	1	ListenWord	NA	weed	4.9	8.01	24	192.24
113.584	0	1	null	NA	null	-1	-1	-1	-1
116.654	0	1	ListenWord	NA	gone	2.04	10.86	17	184.62
119.724	0	1	null	NA	null	-1	-1	-1	-1
122.794	0	1	ListenWord	NA	ring	4.81	10.7	23	246.1
125.864	0	1	null	NA	null	-1	-1	-1	-1
128.934	0	1	null	NA	null	-1	-1	-1	-1
132.004	0	1	null	NA	null	-1	-1	-1	-1
135.073	0	1	ListenWord	NA	dead	4.07	11.2	24	268.8
138.143	0	1	null	NA	null	-1	-1	-1	-1
141.213	0	1	ListenWord	NA	shop	4.31	10.24	16	163.84
144.283	0	1	null	NA	null	-1	-1	-1	-1
147.353	0	1	null	NA	null	-1	-1	-1	-1
150.423	0	1	null	NA	null	-1	-1	-1	-1
153.493	0	1	ListenWord	NA	ham	4.9	8.82	26	229.32
156.563	0	1	null	NA	null	-1	-1	-1	-1
159.632	0	1	ListenWord	NA	hook	4.79	9.36	16	149.76
162.702	0	1	null	NA	null	-1	-1	-1	-1
165.772	0	1	ListenNoise	NA	null	-1	-1	-1	-1
168.841	0	1	null	NA	null	-1	-1	-1	-1
171.911	0	1	ListenWord	NA	face	4.87	11.26	21	236.46
174.981	0	1	null	NA	null	-1	-1	-1	-1
178.051	0	1	ListenNoise	NA	null	-1	-1	-1	-1
181.121	0	1	null	NA	null	-1	-1	-1	-1
184.19	0	1	ListenWord	NA	zeal	2.33	6.55	15	98.25
187.26	0	1	null	NA	null	-1	-1	-1	-1
190.33	0	1	ListenNoise	NA	null	-1	-1	-1	-1
193.4	0	1	null	NA	null	-1	-1	-1	-1
196.47	0	1	ListenWord	NA	coat	4.97	9.24	31	286.44
199.54	0	1	null	NA	null	-1	-1	-1	-1
202.61	0	1	ListenWord	NA	lop	3.32	5.64	22	124.08
205.679	0	1	null	NA	null	-1	-1	-1	-1
208.749	0	1	ListenWord	NA	wake	3.11	9.4	26	244.4
211.819	0	1	null	NA	null	-1	-1	-1	-1
214.889	0	1	ListenWord	NA	jig	3.85	6.79	17	115.43
217.959	0	1	null	NA	null	-1	-1	-1	-1
221.029	0	1	null	NA	null	-1	-1	-1	-1
224.099	0	1	null	NA	null	-1	-1	-1	-1
227.169	0	1	ListenWord	NA	hag	3.68	8.3	25	207.5
230.238	0	1	null	NA	null	-1	-1	-1	-1
233.308	0	1	ListenNoise	NA	null	-1	-1	-1	-1
236.378	0	1	null	NA	null	-1	-1	-1	-1
239.448	0	1	ListenWord	NA	map	4.93	10.16	20	203.2
242.518	0	1	null	NA	null	-1	-1	-1	-1
245.588	0	1	null	NA	null	-1	-1	-1	-1
248.658	0	1	null	NA	null	-1	-1	-1	-1
251.728	0	1	ListenWord	NA	leash	4.89	7.6	16	121.6
254.797	0	1	null	NA	null	-1	-1	-1	-1
257.867	0	1	ListenWord	NA	shuck	3.09	4.52	17	76.84
260.937	0	1	null	NA	null	-1	-1	-1	-1
264.007	0	1	ListenWord	NA	hick	3.45	6.07	25	151.75
267.077	0	1	null	NA	null	-1	-1	-1	-1
270.147	0	1	null	NA	null	-1	-1	-1	-1
273.217	0	1	null	NA	null	-1	-1	-1	-1
276.286	0	1	ListenNoise	NA	null	-1	-1	-1	-1
279.356	0	1	null	NA	null	-1	-1	-1	-1
282.426	0	1	ListenWord	NA	wean	2.59	6.62	25	165.5
285.496	0	1	null	NA	null	-1	-1	-1	-1
288.566	0	1	ListenNoise	NA	null	-1	-1	-1	-1
291.635	0	1	null	NA	null	-1	-1	-1	-1
294.705	0	1	ListenWord	NA	chop	4.48	7.75	18	139.5
297.775	0	1	null	NA	null	-1	-1	-1	-1
300.844	0	1	ListenWord	NA	buck	4.67	8.82	29	255.78
303.914	0	1	null	NA	null	-1	-1	-1	-1
306.984	0	1	ListenWord	NA	heed	1.93	6.96	21	146.16
310.054	0	1	null	NA	null	-1	-1	-1	-1
313.124	0	1	ListenWord	NA	taught	2.21	9.83	22	216.26
316.194	0	1	null	NA	null	-1	-1	-1	-1
319.264	0	1	null	NA	null	-1	-1	-1	-1
322.334	0	1	null	NA	null	-1	-1	-1	-1
325.403	0	1	ListenWord	NA	woke	3.15	8.08	18	145.44
328.473	0	1	null	NA	null	-1	-1	-1	-1
331.543	0	1	ListenWord	NA	curse	2.39	8.95	16	143.2
334.613	0	1	null	NA	null	-1	-1	-1	-1
337.683	0	1	ListenWord	NA	sick	2.97	10	29	290
340.753	0	1	null	NA	null	-1	-1	-1	-1
343.823	0	1	ListenWord	NA	pipe	4.88	9.41	18	169.38
346.892	0	1	null	NA	null	-1	-1	-1	-1
349.962	0	1	ListenNoise	NA	null	-1	-1	-1	-1
353.032	0	1	null	NA	null	-1	-1	-1	-1
356.102	0	1	ListenWord	NA	ware	3.54	7.57	25	189.25
359.172	0	1	null	NA	null	-1	-1	-1	-1
362.242	0	1	null	NA	null	-1	-1	-1	-1
365.312	0	1	null	NA	null	-1	-1	-1	-1
368.382	0	1	ListenWord	NA	tab	4.14	9.13	17	155.21
371.451	0	1	null	NA	null	-1	-1	-1	-1
374.521	0	1	null	NA	null	-1	-1	-1	-1
377.591	0	1	null	NA	null	-1	-1	-1	-1
380.661	0	1	ListenNoise	NA	null	-1	-1	-1	-1
383.731	0	1	null	NA	null	-1	-1	-1	-1
386.801	0	1	ListenWord	NA	loon	4.26	6.78	25	169.5
389.871	0	1	null	NA	null	-1	-1	-1	-1
392.941	0	1	ListenWord	NA	mile	3.63	9.18	28	257.04
396.01	0	1	null	NA	null	-1	-1	-1	-1
399.08	0	1	ListenWord	NA	rook	4.38	6.46	17	109.82
402.15	0	1	null	NA	null	-1	-1	-1	-1
405.219	0	1	ListenWord	NA	mead	4.22	7.43	20	148.6
408.289	0	1	null	NA	null	-1	-1	-1	-1
411.359	0	1	ListenNoise	NA	null	-1	-1	-1	-1
414.429	0	1	null	NA	null	-1	-1	-1	-1
417.498	0	1	ListenWord	NA	weave	4.2	7.03	16	112.48
420.568	0	1	null	NA	null	-1	-1	-1	-1
423.638	0	1	ListenWord	NA	share	2.96	10.96	22	241.12
426.708	0	1	null	NA	null	-1	-1	-1	-1
429.778	0	1	null	NA	null	-1	-1	-1	-1
432.848	0	1	null	NA	null	-1	-1	-1	-1
435.918	0	1	ListenWord	NA	bull	4.85	9.02	13	117.26
438.988	0	1	null	NA	null	-1	-1	-1	-1
442.057	0	1	ListenNoise	NA	null	-1	-1	-1	-1
445.127	0	1	null	NA	null	-1	-1	-1	-1
448.197	0	1	ListenWord	NA	seethe	2.39	3.85	16	61.6
451.267	0	1	null	NA	null	-1	-1	-1	-1
454.337	0	1	ListenWord	NA	met	2.58	10.43	26	271.18
457.407	0	1	null	NA	null	-1	-1	-1	-1
460.477	0	1	ListenWord	NA	cheer	2.77	7.55	27	203.85
463.547	0	1	null	NA	null	-1	-1	-1	-1
466.616	0	1	ListenWord	NA	null	1.79	9.64	17	163.88
469.686	0	1	null	NA	null	-1	-1	-1	-1
472.756	0	1	ListenWord	NA	job	3.19	11.93	19	226.67
475.826	0	1	null	NA	null	-1	-1	-1	-1
478.896	0	1	null	NA	null	-1	-1	-1	-1
481.966	0	1	null	NA	null	-1	-1	-1	-1
485.036	0	1	ListenWord	NA	moat	4.69	7.73	31	239.63
488.105	0	1	null	NA	null	-1	-1	-1	-1
491.175	0	1	ListenWord	NA	loaf	4.79	7.11	16	113.76
494.245	0	1	null	NA	null	-1	-1	-1	-1
497.315	0	1	ListenWord	NA	folk	3.57	9.39	16	150.24
500.385	0	1	null	NA	null	-1	-1	-1	-1
503.455	0	1	ListenWord	NA	tile	4.68	7.19	29	208.51
506.525	0	1	null	NA	null	-1	-1	-1	-1
509.595	0	1	null	NA	null	-1	-1	-1	-1
512.664	0	1	null	NA	null	-1	-1	-1	-1
515.734	0	1	ListenWord	NA	date	3.9	11.82	24	283.68
518.804	0	1	null	NA	null	-1	-1	-1	-1
521.874	0	1	ListenNoise	NA	null	-1	-1	-1	-1
524.943	0	1	null	NA	null	-1	-1	-1	-1
528.013	0	1	ListenWord	NA	learn	2.2	11.18	16	178.88
531.083	0	1	null	NA	null	-1	-1	-1	-1
534.153	0	1	null	NA	null	-1	-1	-1	-1
537.222	0	1	null	NA	null	-1	-1	-1	-1
540.292	0	1	ListenWord	NA	rod	4.43	9.88	21	207.48
543.362	0	1	null	NA	null	-1	-1	-1	-1
546.432	0	1	ListenNoise	NA	null	-1	-1	-1	-1
549.502	0	1	null	NA	null	-1	-1	-1	-1
