onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	ListenWord	NA	rut	3.64	6.05	28	169.4
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.139	0	1	ListenWord	NA	hawk	4.93	8.19	18	147.42
9.209	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	ListenWord	NA	rip	3.79	8.99	32	287.68
15.348	0	1	null	NA	null	-1	-1	-1	-1
18.418	0	1	ListenNoise	NA	null	-1	-1	-1	-1
21.488	0	1	null	NA	null	-1	-1	-1	-1
24.557	0	1	ListenWord	NA	cub	4.67	7.182	18	129.276
27.627	0	1	null	NA	null	-1	-1	-1	-1
30.697	0	1	null	NA	null	-1	-1	-1	-1
33.766	0	1	null	NA	null	-1	-1	-1	-1
36.836	0	1	ListenWord	NA	wick	4.69	6.33	26	164.58
39.905	0	1	null	NA	null	-1	-1	-1	-1
42.974	0	1	ListenWord	NA	tug	3.5	7.07	18	127.26
46.044	0	1	null	NA	null	-1	-1	-1	-1
49.114	0	1	ListenWord	NA	chair	4.58	9.83	20	196.6
52.183	0	1	null	NA	null	-1	-1	-1	-1
55.253	0	1	null	NA	null	-1	-1	-1	-1
58.322	0	1	null	NA	null	-1	-1	-1	-1
61.392	0	1	ListenWord	NA	tang	4.42	7.85	18	141.3
64.462	0	1	null	NA	null	-1	-1	-1	-1
67.531	0	1	ListenWord	NA	hen	4.9	7.17	24	172.08
70.601	0	1	null	NA	null	-1	-1	-1	-1
73.671	0	1	null	NA	null	-1	-1	-1	-1
76.74	0	1	null	NA	null	-1	-1	-1	-1
79.81	0	1	ListenWord	NA	moose	4.97	8.15	19	154.85
82.88	0	1	null	NA	null	-1	-1	-1	-1
85.949	0	1	ListenNoise	NA	null	-1	-1	-1	-1
89.019	0	1	null	NA	null	-1	-1	-1	-1
92.089	0	1	ListenWord	NA	pup	4.61	7.48	21	157.08
95.158	0	1	null	NA	null	-1	-1	-1	-1
98.228	0	1	ListenWord	NA	miss	2.54	10.34	23	237.82
101.298	0	1	null	NA	null	-1	-1	-1	-1
104.367	0	1	ListenNoise	NA	null	-1	-1	-1	-1
107.437	0	1	null	NA	null	-1	-1	-1	-1
110.507	0	1	ListenWord	NA	pen	4.92	8.97	29	260.13
113.576	0	1	null	NA	null	-1	-1	-1	-1
116.646	0	1	ListenWord	NA	deep	3.38	10.66	18	191.88
119.715	0	1	null	NA	null	-1	-1	-1	-1
122.785	0	1	ListenWord	NA	deck	4.77	10.27	20	205.4
125.855	0	1	null	NA	null	-1	-1	-1	-1
128.924	0	1	null	NA	null	-1	-1	-1	-1
131.994	0	1	null	NA	null	-1	-1	-1	-1
